Subject,Date,Body,filepath
CISA Releases One Industrial Control Systems Advisory,"Thu, 30 Mar 2023 16:28:42 +0000","    CISA Releases One Industrial Control Systems AdvisoryYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.CISA Releases One Industrial Control Systems Advisory 03/30/2023  12:20 PM EDTCISA released one Industrial Control Systems (ICS) advisory on March 30, 2023. This advisory provides timely information about current security issues, vulnerabilities, and exploits surrounding ICS. ICSA-23-089-01 Hitachi Energy IEC 61850 MMS-ServerCISA encourages users and administrators to review the newly released ICS advisories for technical details and mitigations.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/CISA_Releases_One_Industrial_Control_Systems_Advisory_4/index.html
Supply Chain Attack Against 3CXDesktopApp,"Thu, 30 Mar 2023 14:11:06 +0000","    Supply Chain Attack Against 3CXDesktopAppYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.Supply Chain Attack Against 3CXDesktopApp 03/30/2023  08:00 AM EDTCISA is aware of open-source reports describing a supply chain attack against 3CX software and their customers. According to the reports, 3CXDesktopApp — a voice and video conferencing app — was trojanized, potentially leading to multi-staged attacks against users employing the vulnerable app.CISA urges users and organizations to review the following reports for more information, and hunt for the listed indicators of compromise (IOCs) for potential malicious activity:CrowdStrike: Falcon Platform Detects and Prevents Active Intrusion Campaign Targeting 3CXDesktopApp CustomersSentinelOne: SmoothOperator | Ongoing Campaign Trojanizes 3CXDesktopApp in Supply Chain Attack",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/Supply_Chain_Attack_Against_3CXDesktopApp/index.html
Apple Releases Security Updates for Multiple Products,"Tue, 28 Mar 2023 17:11:11 +0000",    Apple Releases Security Updates for Multiple ProductsYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated and is now available.Apple Releases Security Updates for Multiple Products 03/28/2023  01:00 PM EDTApple has released security updates to address vulnerabilities in multiple products. An attacker could exploit some of these vulnerabilities to take control of an affected device.CISA encourages users and administrators to review the following advisories and apply the necessary updates.macOS Ventura 13.3Safari 16.4Studio Display Firmware Update 16.4iOS 15.7.4 and iPadOS 15.7.4tvOS 16.4macOS Big Sur 11.7.5iOS 16.4 and iPadOS 16.4macOS Monterey 12.6.4watchOS 9.4Please share your thoughts. We recently updated our anonymous Product Feedback Survey and we'd welcome your feedback.,/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/Apple_Releases_Security_Updates_for_Multiple_Products_3/index.html
Cisco Releases Security Advisories for Multiple Products,"Thu, 23 Mar 2023 20:02:21 +0000","    Cisco Releases Security Advisories for Multiple ProductsYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.Cisco Releases Security Advisories for Multiple Products 03/23/2023  03:50 PM EDTCisco has released security advisories for vulnerabilities affecting multiple Cisco products. A remote cyber threat actor could exploit these vulnerabilities to take control of an affected system.CISA encourages users and administrators to review the following advisories and apply the necessary updates:Cisco IOS XE Software Virtual Fragmentation Reassembly Denial of Service Vulnerability cisco-sa-ipv4-vfr-dos-CXxtFacbCisco IOS XE Software IOx Application Hosting Environment Privilege Escalation Vulnerability cisco-sa-iox-priv-escalate-Xg8zkyPkCisco IOS XE SD-WAN Software Command Injection Vulnerability cisco-sa-ios-xe-sdwan-VQAhEjYwCisco IOS XE Software Fragmented Tunnel Protocol Packet Denial of Service Vulnerability cisco-sa-ios-gre-crash-p6nE5Sq5Cisco IOS and IOS XE Software IPv6 DHCP (DHCPv6) Relay and Server Denial of Service Vulnerability cisco-sa-ios-dhcpv6-dos-44cMvdDKCisco IOS XE Software for Wireless LAN Controllers HTTP Client Profiling Denial of Service Vulnerability cisco-sa-ewlc-dos-wFujBHKwCisco DNA Center Privilege Escalation Vulnerability cisco-sa-dnac-privesc-QFXe74RSCisco IOS XE Software for Cisco Catalyst 9300 Series Switches Secure Boot Bypass Vulnerability cisco-sa-c9300-spi-ace-yejYgnNQCisco Access Point Software Association Request Denial of Service Vulnerability cisco-sa-ap-assoc-dos-D2SunWK2For updates addressing lower severity vulnerabilities, see the Cisco Security Advisories page.Please share your thoughts. We recently updated our anonymous Product Feedback Survey; we'd welcome your feedback.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/Cisco_Releases_Security_Advisories_for_Multiple_Products_1/index.html
"Untitled Goose Tool Aids Hunt and Incident Response in Azure, Azure Active Directory, and Microsoft 365 Environments","Thu, 23 Mar 2023 19:56:30 +0000","    Untitled Goose Tool Aids Hunt and Incident Response in Azure, Azure Active Directory, and Microsoft 365 EnvironmentsYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.Untitled Goose Tool Aids Hunt and Incident Response in Azure, Azure Active Directory, and Microsoft 365 Environments 03/23/2023  03:51 PM EDTToday, CISA released the Untitled Goose Tool to help network defenders detect potentially malicious activity in Microsoft Azure, Azure Active Directory (AAD), and Microsoft 365 (M365) environments. The Untitled Goose Tool offers novel authentication and data gathering methods for network defenders to use as they interrogate and analyze their Microsoft cloud services. The tool enables users to:Export and review AAD sign-in and audit logs, M365 unified audit log (UAL), Azure activity logs, Microsoft Defender for IoT (internet of things) alerts, and Microsoft Defender for Endpoint (MDE) data for suspicious activity.Query, export, and investigate AAD, M365, and Azure configurations.Extract cloud artifacts from Microsoft’s AAD, Azure, and M365 environments without performing additional analytics. Perform time bounding of the UAL.Extract data within those time bounds. Collect and review data using similar time bounding capabilities for MDE data.Untitled Goose Tool was developed by CISA with support from Sandia National Laboratories. Network defenders can see the Untitled Goose Tool fact sheet and visit the Untitled Goose Tool GitHub repository to get started.Please share your thoughts. We recently updated our anonymous Product Feedback Survey and we'd welcome your feedback.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/Untitled_Goose_Tool_Aids_Hunt_and_Incident_Response_in_Azure__Azure_Active_Directory__and_Microsoft_365_Environments/index.html
CISA Releases Six Industrial Control Systems Advisories,"Thu, 23 Mar 2023 17:15:39 +0000","    CISA Releases Six Industrial Control Systems AdvisoriesYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.CISA Releases Six Industrial Control Systems Advisories 03/23/2023  08:00 AM EDTCISA released six Industrial Control Systems (ICS) advisories on March 23, 2023. These advisories provide timely information about current security issues, vulnerabilities, and exploits surrounding ICS. ICSA-23-082-01 RoboDKICSA-23-082-02 CP-Plus KVMS ProICSA-23-082-03 SAUTER EY-modulo 5 Building Automation StationsICSA-23-082-04 Schneider Electric IGSSICSA-23-082-05 ABB Pulsar Plus ControllerICSA-23-082-06 ProPump and Controls Osprey Pump ControllerCISA encourages users and administrators to review the newly released ICS advisories for technical details and mitigations:  Please share your thoughts. We recently updated our anonymous Product Feedback Survey and we'd welcome your feedback.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/CISA_Releases_Six_Industrial_Control_Systems_Advisories/index.html
JCDC Cultivates Pre-Ransomware Notification Capability,"Thu, 23 Mar 2023 16:59:51 +0000","    JCDC Cultivates Pre-Ransomware Notification CapabilityYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.JCDC Cultivates Pre-Ransomware Notification Capability 03/23/2023  08:00 AM EDTIn today’s blog post, Associate Director of the Joint Cyber Defense Collaborative (JCDC) Clayton Romans highlighted recent successes of pre-ransomware notification and its impact in reducing harm from ransomware intrusions. With pre-ransomware notifications, organizations can receive early warning and potentially evict threat actors before they can encrypt and hold critical data and systems for ransom. Using this proactive cyber defense capability, CISA has notified more than 60 entities of early-stage ransomware intrusions since January 2023, including critical infrastructure organizations in the Energy, Healthcare and Public Health, Water and Wastewater Systems sectors, as well as the education community.The pre-encryption ransomware notification was cultivated with the help of the cybersecurity research community and through CISA’s relationships with infrastructure providers and cyber threat intelligence companies.For more information, visit #StopRansomware. To report early-stage ransomware activity, visit Report Ransomware. CISA also encourages stakeholders and network defenders to review associate director Romans’ post, Getting Ahead of the Ransomware Epidemic: CISA’s Pre-Ransomware Notifications Help Organizations Stop Attacks Before Damage Occurs, to learn more about CISA’s Pre-Ransomware Notification Initiative.Please share your thoughts. We recently updated our anonymous Product Feedback Survey and we'd welcome your feedback.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/JCDC_Cultivates_Pre_Ransomware_Notification_Capability/index.html
CISA and NSA Release Enduring Security Framework Guidance on Identity and Access Management,"Tue, 21 Mar 2023 19:21:55 +0000","    CISA and NSA Release Enduring Security Framework Guidance on Identity and Access ManagementYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.CISA and NSA Release Enduring Security Framework Guidance on Identity and Access Management 03/21/2023  03:08 PM EDTAs part of the Enduring Security Framework (ESF), the Cybersecurity and Infrastructure Security Agency (CISA) and the National Security Agency (NSA) has released Identity and Access Management Recommended Best Practices Guide for Administrators. These recommended best practices provide system administrators with actionable recommendations to better secure their systems from threats to Identity and Access Management (IAM).IAM—a framework of business processes, policies, and technologies that facilitate the management of digital identities—ensures that users only gain access to data when they have the appropriate credentials. This paper provides recommended best practices and mitigations to counter threats to IAM related to:identity governanceenvironmental hardeningidentity federation/single sign-onmultifactor authenticationIAM auditing and monitoringThis guidance was developed and published by a CISA- and NSA-led working panel with ESF, a public-private cross-sector partnership that aims to address risks that threaten critical infrastructure and national security systems.Please share your thoughts. We recently updated our anonymous Product Feedback Survey and we'd welcome your feedback.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/CISA_and_NSA_Release_Enduring_Security_Framework_Guidance_on_Identity_and_Access_Management/index.html
CISA Releases Eight Industrial Control Systems Advisories,"Tue, 21 Mar 2023 19:16:47 +0000","    CISA Releases Eight Industrial Control Systems AdvisoriesYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.CISA Releases Eight Industrial Control Systems Advisories 03/21/2023  08:00 AM EDTCISA released eight Industrial Control Systems (ICS) advisories on March 21, 2023. These advisories provide timely information about current security issues, vulnerabilities, and exploits surrounding ICS. ICSA-23-080-01 Keysight N6854A Geolocation Server and N6841A RF SensorICSA-23-080-02 Delta Electronics InfraSuite Device MasterICSA-23-080-03 Siemens RUGGEDCOM APE1808 Product Family ICSA-23-080-04 Siemens RADIUS Client of SIPROTEC 5 DevicesICSA-23-080-05 VISAM VBASE Automation BaseICSA-23-080-06 Rockwell Automation ThinManagerICSA-23-080-07 Siemens SCALANCE Third-PartyICSA-21-343-01 Hitachi Energy GMS600, PWC600, and Relion (Update A)CISA encourages users and administrators to review the newly released ICS advisories for technical details and mitigations:  Please share your thoughts. We recently updated our anonymous Product Feedback Survey and we'd welcome your feedback.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/CISA_Releases_Eight_Industrial_Control_Systems_Advisories/index.html
CISA Releases Updated Cybersecurity Performance Goals,"Tue, 21 Mar 2023 17:58:58 +0000","    CISA Releases Updated Cybersecurity Performance GoalsYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated and is now available.CISA Releases Updated Cybersecurity Performance Goals 03/21/2023  01:55 PM EDTToday, we published stakeholder-based updates to the Cybersecurity Performance Goals (CPGs). Originally released last October, the CPGs are voluntary practices that businesses and critical infrastructure owners can take to protect themselves against cyber threats. The CPGs have been reorganized, reordered and renumbered to align closely with NIST CSF functions (Identify, Protect, Detect, Respond, and Recover) to help organizations more easily use the CPGs to prioritize investments as part of a broader cybersecurity program built around the CSF. CISA urges stakeholders to review and learn more by visiting Cross-Sector Cybersecurity Performance Goals.Please share your thoughts. We recently updated our anonymous Product Feedback Survey and we'd welcome your feedback.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/CISA_Releases_Updated_Cybersecurity_Performance_Goals/index.html
Drupal Releases Security Advisory to Address Vulnerability in Drupal Core,"Fri, 17 Mar 2023 17:06:19 +0000","    Drupal Releases Security Advisory to Address Vulnerability in Drupal CoreYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.Drupal Releases Security Advisory to Address Vulnerability in Drupal Core 03/17/2023  08:00 AM EDTDrupal has released a security advisory to address an access bypass vulnerability affecting multiple Drupal versions. An attacker could exploit this vulnerability to take control of an affected system.CISA encourages users and administrators to review Drupal security advisory SA-CONTRIB- 2023-004 for more information and apply the necessary updates.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/Drupal_Releases_Security_Advisory_to_Address_Vulnerability_in_Drupal_Core_1/index.html
"FBI, CISA, and MS-ISAC Release #StopRansomware: LockBit 3.0","Thu, 16 Mar 2023 19:09:21 +0000","    FBI, CISA, and MS-ISAC Release #StopRansomware: LockBit 3.0You are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.FBI, CISA, and MS-ISAC Release #StopRansomware: LockBit 3.0 03/16/2023  08:00 AM EDTThe Federal Bureau of Investigation (FBI), CISA, and the Multi-State Information Sharing and Analysis Center (MS-ISAC) has released a joint cybersecurity advisory (CSA), #StopRansomware: LockBit 3.0. This joint advisory details known indicators of compromise (IOCs) and tactics, techniques, and procedures (TTPs) that FBI investigations correlated with LockBit 3.0 ransomware as recently as March 2023. LockBit 3.0 functions as an affiliate-based ransomware variant and is a continuation of LockBit 2.0 and LockBit.CISA encourages network defenders to review and apply the recommendations in the Mitigations section of this CSA. See StopRansomware.gov for additional guidance on ransomware protection, detection, and response.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/FBI__CISA__and_MS_ISAC_Release__StopRansomware__LockBit_3_0/index.html
CISA Releases SCuBA Hybrid Identity Solutions Architecture Guidance Document for Public Comment,"Wed, 15 Mar 2023 21:20:49 +0000","    CISA Releases SCuBA Hybrid Identity Solutions Architecture Guidance Document for Public CommentYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.CISA Releases SCuBA Hybrid Identity Solutions Architecture Guidance Document for Public Comment 03/15/2023  08:00 AM EDTCISA has released a draft Secure Cloud Business Applications (SCuBA) Hybrid Identity Solutions Architecture guidance document for public comment. The request for comment period is open until April 17, 2023. Comments may be submitted to CyberSharedServices@cisa.dhs.gov.In accordance with Executive Order 14028, CISA’s SCuBA project aims to develop consistent, effective, modern, and manageable security that will help secure agency information assets stored within cloud operations. This guidance will help federal civilian departments and agencies securely and efficiently integrate their traditional on-premises enterprise networks with cloud-based solutions.CISA encourages federal program and project managers involved in identity management interoperability and vulnerability mitigation to review and provide comment. Visit CISA’s SCuBA project page for more information and to review the guidance document.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/CISA_Releases_SCuBA_Hybrid_Identity_Solutions_Architecture_Guidance_Document_for_Public_Comment/index.html
CISA Adds One Known Exploited Vulnerability to Catalog,"Wed, 15 Mar 2023 20:22:13 +0000","    CISA Adds One Known Exploited Vulnerability to CatalogYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.CISA Adds One Known Exploited Vulnerability to Catalog 03/15/2023  08:00 AM EDTCISA has added one new vulnerability to its Known Exploited Vulnerabilities Catalog, based on evidence of active exploitation. CVE-2023-26360  Adobe ColdFusion Improper Access Control VulnerabilityThese types of vulnerabilities are frequent attack vectors for malicious cyber actors and pose significant risks to the federal enterprise. Note: To view other newly added vulnerabilities in the catalog, click on the arrow in the ""Date Added to Catalog"" column—which will sort by descending dates.Binding Operational Directive (BOD) 22-01: Reducing the Significant Risk of Known Exploited Vulnerabilities established the Known Exploited Vulnerabilities Catalog as a living list of known Common Vulnerabilities and Exposures (CVEs) that carry significant risk to the federal enterprise. BOD 22-01 requires Federal Civilian Executive Branch (FCEB) agencies to remediate identified vulnerabilities by the due date to protect FCEB networks against active threats. See the BOD 22-01 Fact Sheet for more information.Although BOD 22-01 only applies to FCEB agencies, CISA strongly urges all organizations to reduce their exposure to cyberattacks by prioritizing timely remediation of Catalog vulnerabilities as part of their vulnerability management practice. CISA will continue to add vulnerabilities to the catalog that meet the specified criteria.Please share your thoughts. We recently updated our anonymous Product Feedback Survey and we'd welcome your feedback.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/CISA_Adds_One_Known_Exploited_Vulnerability_to_Catalog_12/index.html
WaterISAC Releases Advisory for Microsoft DCOM Patch,"Wed, 15 Mar 2023 17:31:26 +0000","    WaterISAC Releases Advisory for Microsoft DCOM PatchYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.WaterISAC Releases Advisory for Microsoft DCOM Patch 03/15/2023  08:00 AM EDTThe Water Information Sharing and Analysis Center (WaterISAC) has released an advisory, Potential for Mandatory Microsoft DCOM Patch to Disrupt SCADA. ICS/OT/SCADA engineers and operators should assess the use of the Distributed Component Object Model (DCOM) protocol in their industrial environments. According to WaterISAC, “failure to address could result in loss of critical communications between impacted ICS/OT/SCADA devices.”CISA urges operators to review the WaterISAC advisory and apply recommended compensating controls. See Microsoft KB5004442—Manage changes for Windows DCOM Server Security Feature Bypass ( CVE-2021-26414 ) for more information. ",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/WaterISAC_Releases_Advisory_for_Microsoft_DCOM_Patch/index.html
Threat Actors Exploited Progress Telerik Vulnerability in U.S. Government IIS Server,"Wed, 15 Mar 2023 17:31:26 +0000","    Threat Actors Exploited Progress Telerik Vulnerability in U.S. Government IIS ServerYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.Threat Actors Exploited Progress Telerik Vulnerability in U.S. Government IIS Server 03/15/2023  08:00 AM EDTToday, the CISA, Federal Bureau of Investigation (FBI), and Multi-State Information Sharing and Analysis Center (MS-ISAC) released a joint Cybersecurity Advisory (CSA), Threat Actors Exploit Progress Telerik Vulnerability in U.S. Government IIS Server. This joint CSA provides IT infrastructure defenders with tactics, techniques, and procedures (TTPs), indicators of compromise (IOCs), and methods to detect and protect against similar, successful  CVE-2019-18935  exploitation.As detailed in the advisory, CISA analysts determined that multiple cyber threat actors, including an Advanced Persistent Threat (APT) actor, exploited a .NET deserialization vulnerability in Progress Telerik user interface for ASP.NET AJAX. Exploitation of this vulnerability allowed malicious actors to successfully execute remote code on a federal civilian executive branch (FCEB) agency’s Microsoft Internet Information Services (IIS) web server. Actors were then able to upload malicious dynamic-link library (DLL) files (some masqueraded as portable network graphics [PNG] files) to the C:\Windows\Temp\ directory. CISA, FBI, and MS-ISAC encourage network defenders to review the Detection and Mitigations sections of this advisory, as well as refer to the accompanying Malware Analysis Report, MAR-10413062-1.v1 Telerik Vulnerability in U.S. Government IIS Server, to reference CISA's analysis for the identified malicious files.Please share your thoughts. We recently updated our anonymous Product Feedback Survey and we'd welcome your feedback.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/Threat_Actors_Exploited_Progress_Telerik_Vulnerability_in_U_S__Government_IIS_Server/index.html
Adobe Releases Security Updates for Multiple Products,"Wed, 15 Mar 2023 00:33:02 +0000","    Adobe Releases Security Updates for Multiple ProductsYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.Adobe Releases Security Updates for Multiple Products 03/14/2023  08:00 AM EDTAdobe has released security updates to address multiple vulnerabilities in Adobe software. An attacker can exploit these vulnerabilities to take control of an affected system.CISA encourages users and administrators to review the following Adobe Security Bulletins and apply the necessary updates.Commerce APSB23-17Experience Manager APSB23-18Illustrator APSB23-19Dimension APSB23-20Creative Cloud Desktop Application APSB23-21Substance 3D Stager APSB23-22Photoshop APSB23-23ColdFusion APSB23-25Please share your thoughts. We recently updated our anonymous Product Feedback Survey and we'd welcome your feedback.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/Adobe_Releases_Security_Updates_for_Multiple_Products_2/index.html
Microsoft Releases March 2023 Security Updates,"Tue, 14 Mar 2023 22:00:53 +0000",    Microsoft Releases March 2023 Security UpdatesYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated and is now available.Microsoft Releases March 2023 Security Updates 03/14/2023  08:00 AM EDTMicrosoft has released updates to address multiple vulnerabilities in Microsoft software. An attacker can exploit some of these vulnerabilities to take control of an affected system.CISA encourages users and administrators to review Microsoft’s March 2023 Security Update Guide and Deployment Information and apply the necessary updates.Please share your thoughts. We recently updated our anonymous Product Feedback Survey and we'd welcome your feedback.,/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/Microsoft_Releases_March_2023_Security_Updates/index.html
Mozilla Releases Security Updates for Firefox 111 and Firefox ESR 102.9,"Tue, 14 Mar 2023 22:00:29 +0000",    Mozilla Releases Security Updates for Firefox 111 and Firefox ESR 102.9You are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated and is now available.Mozilla Releases Security Updates for Firefox 111 and Firefox ESR 102.9 03/14/2023  08:00 AM EDTMozilla has released security updates to address vulnerabilities in Firefox 111 and Firefox ESR 102.9. An attacker could exploit some of these vulnerabilities to take control of an affected system.CISA encourages users and administrators to review Mozilla’s security advisories for Firefox 111 and Firefox ESR 102.9 for more information and apply the necessary updates.Please share your thoughts. We recently updated our anonymous Product Feedback Survey and we'd welcome your feedback.,/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/Mozilla_Releases_Security_Updates_for_Firefox_111_and_Firefox_ESR_102_9/index.html
CISA Adds Three Known Exploited Vulnerabilities to Catalog,"Tue, 14 Mar 2023 20:39:31 +0000","    CISA Adds Three Known Exploited Vulnerabilities to CatalogYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.CISA Adds Three Known Exploited Vulnerabilities to Catalog 03/14/2023  08:00 AM EDTCISA has added three new vulnerabilities to its Known Exploited Vulnerabilities Catalog, based on evidence of active exploitation. CVE-2023-23397  Microsoft Outlook Elevation of Privilege Vulnerability CVE-2023-24880  Microsoft Windows SmartScreen Security Feature Bypass Vulnerability CVE-2022-41328  Fortinet FortiOS Path Traversal VulnerabilityThese types of vulnerabilities are frequent attack vectors for malicious cyber actors and pose significant risks to the federal enterprise. Note: To view other newly added vulnerabilities in the catalog, click on the arrow in the ""Date Added to Catalog"" column—which will sort by descending dates.Binding Operational Directive (BOD) 22-01: Reducing the Significant Risk of Known Exploited Vulnerabilities established the Known Exploited Vulnerabilities Catalog as a living list of known Common Vulnerabilities and Exposures (CVEs) that carry significant risk to the federal enterprise. BOD 22-01 requires Federal Civilian Executive Branch (FCEB) agencies to remediate identified vulnerabilities by the due date to protect FCEB networks against active threats. See the BOD 22-01 Fact Sheet for more information.Although BOD 22-01 only applies to FCEB agencies, CISA strongly urges all organizations to reduce their exposure to cyberattacks by prioritizing timely remediation of Catalog vulnerabilities as part of their vulnerability management practice. CISA will continue to add vulnerabilities to the catalog that meet the specified criteria.Please share your thoughts. We recently updated our anonymous Product Feedback Survey and we'd welcome your feedback.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/CISA_Adds_Three_Known_Exploited_Vulnerabilities_to_Catalog_1/index.html
CISA Releases Four Industrial Control Systems Advisories,"Tue, 14 Mar 2023 16:22:30 +0000","    CISA Releases Four Industrial Control Systems AdvisoriesYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated and is now available.CISA Releases Four Industrial Control Systems Advisories 03/14/2023  08:00 AM EDTCISA released four Industrial Control Systems (ICS) advisories on March 14, 2023. These advisories provide timely information about current security issues, vulnerabilities, and exploits surrounding ICS.CISA encourages users and administrators to review the newly released ICS advisories for technical details and mitigations:ICSA-23-073-01 Omron CJ1m PLCICSA-23-073-02 Autodesk FBX SDKICSA-23-073-03 GE iFIXICSA-23-073-04 AVEVA Plant SCADA and AVEVA Telemetry Server",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/CISA_Releases_Four_Industrial_Control_Systems_Advisories_2/index.html
CISA Announces Ransomware Vulnerability Warning Pilot,"Tue, 14 Mar 2023 01:46:07 +0000","    CISA Announces Ransomware Vulnerability Warning PilotYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.CISA Announces Ransomware Vulnerability Warning Pilot 03/13/2023  08:00 AM EDTToday, CISA is announcing the creation of the Ransomware Vulnerability Warning Pilot (RVWP). Through the RVWP, CISA:     Proactively identifies information systems—belonging to critical infrastructure entities—that contain vulnerabilities commonly associated with ransomware intrusions.Notifies the owners of the affected information systems, which enables the owners to mitigate the vulnerabilities before damaging intrusions occur. Review the RVWP webpage for details, including information on the authorities and services CISA leverages to enable RVWP notifications.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/CISA_Announces_Ransomware_Vulnerability_Warning_Pilot/index.html
CISA Adds Two Known Exploited Vulnerabilities to Catalog,"Fri, 10 Mar 2023 19:32:13 +0000","    CISA Adds Two Known Exploited Vulnerabilities to CatalogYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated and is now available.CISA Adds Two Known Exploited Vulnerabilities to Catalog 03/10/2023  07:00 AM ESTCISA has added two new vulnerabilities to its Known Exploited Vulnerabilities Catalog, based on evidence of active exploitation. CVE-2020-5741  Plex Media Server Remote Code Execution Vulnerability CVE-2021-39144  XStream Remote Code Execution VulnerabilityThese types of vulnerabilities are frequent attack vectors for malicious cyber actors and pose significant risks to the federal enterprise. Note: To view other newly added vulnerabilities in the catalog, click on the arrow in the ""Date Added to Catalog"" column—which will sort by descending dates.Binding Operational Directive (BOD) 22-01: Reducing the Significant Risk of Known Exploited Vulnerabilities established the Known Exploited Vulnerabilities Catalog as a living list of known Common Vulnerabilities and Exposures (CVEs) that carry significant risk to the federal enterprise. BOD 22-01 requires Federal Civilian Executive Branch (FCEB) agencies to remediate identified vulnerabilities by the due date to protect FCEB networks against active threats. See the BOD 22-01 Fact Sheet for more information.Although BOD 22-01 only applies to FCEB agencies, CISA strongly urges all organizations to reduce their exposure to cyberattacks by prioritizing timely remediation of Catalog vulnerabilities as part of their vulnerability management practice. CISA will continue to add vulnerabilities to the catalog that meet the specified criteria.Please share your thoughts. We recently updated our anonymous Product Feedback Survey and we'd welcome your feedback.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/CISA_Adds_Two_Known_Exploited_Vulnerabilities_to_Catalog_4/index.html
